code,display_en,display_fi
AAC30,Intracranial occlusion of vascular fistula,Ocklusion av intrakranial kärlfistel
AAC40,Extirpation of intracranial arterio-venous malformation,Exstirpation av intrakranial arteriovenös missbildning
AAC99,Other operation for aneurysm or other intracranial vascular lesion,Annan intrakranial kärloperation
AAD,Operations for head injuries,Operationer p.g.a. skalltrauma
AAD00,Evacuation of epidural haematoma,Utrymning av epiduralt hematom
AAD05,Evacuation of acute subdural haematoma,Utrymning av akut subduralt hematom
AAD10,Evacuation of chronic subdural haematoma,Utrymning av kroniskt subduralt hematom
AAD12,Drainage of subdural fluid,Dränering av subdural vätska till pleura eller abdomen
AAD15,Evacuation of traumatic intracerebral haematoma,Utrymning av hematom eller kontusionshärd i hjärnan
AAD16,Removal of subdural drainage,Avlägsnande av subdural drän
AAD30,Revision of penetrating or perforating injury of skull,Revision av penetrerande/perforerande skallskada
AAD40,Revision of fracture of skull,Elevation av impressionsfraktur
AAD42,Treatment of frontobasal fracture of skull,Ingrepp för frontobasal fraktur
AAD99,Other operation for head injury,Annat ingrepp för skallskada
AAE,Operations by cranial base approach,Ingrepp via skallbasen
AAE00,Transsphenoidal exploration,Transsfenoidal exploration
AAE05,Nasoendoscopic closure of cerebrospinal fluid fistula,Endoskopisk tillslutning av likvorfistel endonasalt
AAE10,Transsphenoidal total or partial excision of intracranial lesion,Transsfenoidal exstirpation eller resektion
AAE20,Transoral total or partial excision of intracranial lesion,Transoral/transclival exstirpation eller resektion
AAE25,Transcervical total or partial excision of intracranial lesion,Transcervical exstirpation eller resektion
AAE30,Translabyrinthine total or partial excision of intracranial lesion,Translabyrintär exstirpation eller resektion
AAE32,Translabyrinthine excision acoustic neurinome,Translabyrintär exstirpation av acusticusneurinom
AAE34,Other operations on acoustical nerv,Annan operation på nervus acusticus (vestibulocochlearis)
AAE40,Transtemporal total or partial excision of intracranial lesion,Transtemporal exstipation eller resektion
AAE50,Zygomaticotemporal total or partial excision of intracranial lesion,Zygomaticotemporal exstirpation eller resektion
AAE99,Other operation by cranial base approach,Annan operation via skallbasen
AAF,Shunt operations on ventricles of brain or intracerebral cysts,Shuntoperationer på hjärnventriklar eller intracerebral cystor
AAF00,Ventriculostomy,Ventrikulostomi
AAF05,Ventriculoperitoneal shunt,Ventrikuloperitoneal shunt
AAF10,Lumboperitoneal shunt,Lumboperitoneal liquorshunt
AAF15,Ventriculoatrial shunt,Ventrikuloatrial shunt
AAF20,Revision of shunt of ventricle of brain,Revision av liquorshunt
AAF25,Removal of shunt of ventricle of brain,Borttagande av liquorshunt
AAF30,Implantation of intraventricular injection device,Applikation av intraventrikulär injektionsport
AAF35,Implantation of reservoir for intraventricular therapy,Implantation av reservoir för intraventrikulär terapi
AAF40,Shunt of cyst of brain to peritoneum,Dränage av intravetrikulär cysta till bukhålan
AAF45,Fenestration of intracranial cyst,Fenestrering av intrakranial cysta
AAF50,,Perforering av tredje hjärnventrikelns botten
AAF99,Other shunt operation on ventricle of brain or intracerebral cyst,Annat ingrepp för reglering av liquorflödet
AAG,Stereotactic intracranial operations,Stereotaktiska intrakraniala operationer
AAG00,Stereotactic intracranial biopsy,Stereotaktisk biopsi
AAG10,Stereotactic intracranial destruction of nucleus or nerve tract,Stereotaktisk destruktion av nukleus eller nervbana
AAG20,Stereotactic intracranial implantation of electrodes,Stereotaktiskt inläggande av elektroder i hjärnan
AAG30,Stereotactic intracranial implantation of radioactive agent,Stereotaktisk implantation av strålkälla i hjärnan
AAG40,Stereotactic intracranial implantation of fetal tissue,Stereotaktisk implantation av fosternervceller/vävnad i hjärnan
AAG50,Stereotactic intracranial radiotherapy,Stereotaktisk strålbehandling
AAG99,Other stereotactic intracranial operation,Annan stereotaktisk operation på centrala nervsystemet
AAH,Operations on cranial nerves,Operationer på kranialnerver
AAH10,Rhizotomy of cranial nerve,Neurotomi av kranialnerv
AAH20,Decompression of cranial nerve,Deliberation/dekompression av kranialnerv
AAH30,Thermal destruction of cranial nerve,Termodestruktion av kranialnerv
AAH40,Glycerol injection into cranial nerve,Injektion i kranialnerv
AAH50,Cranial nerve anastomosis,"Neurorafi av kranialnerv, eller rekonstruktion med nervtransplantat"
AAH60,Microvascular decompression of cranial nerve,Mikrovaskulär dekompression av kranialnerv
AAH80,Microvascural muscle transplantation in cranial nerve area,Mikrovaskulär muskelförflyttning vid kranialnervpares
AAH99,Other operation on cranial nerve,Annan operation på kranialnerver
AAJ,Operations for epilepsy,Operationer p.g.a.epilepsi
AAJ00,Hemispherectomy,Hemisfärektomi vid epilepsi
AAJ10,Lobectomy for epilepsy,Lobektomi vid epilepsi
AAJ15,Hippocampectomy,Hippokampektomi vid epilepsi
AAJ20,Excision of epileptic focus,Resektion av epileptiskt fokus
AAJ25,Transcision of nerve tracts for epilepsy,Avskärning av nervbanor vid epilepsi
AAJ30,Callosotomy for epilepsy,Callosotomi vid epilepsi
AAJ35,Hemidecortication for epilepsy,Hemidekortikation vid epilepsi
AAJ99,Other operation for epilepsy,Annan hjärnoperation vid epilepsi
AAK,Operations on skull and dura,Operationer på kranium och dura
AAK00,Cranioplasty,Kranioplastik
AAK10,Repair of dura,Duraplastik
AAK20,Operations for craniosynostosis,Operation p.g.a.kraniosynostos
AAK30,Craniofacial reconstruction in congenital malformations,Kraniofacial rekonstruktion vid missbildning
AAK40,Closure of cerebrospinal fluid fistula,Ocklusion av likvorfistel
AAK80,Partial excision of skull cap,Öppning av skallens kalott för att underlätta hjärntrycket
AAK85,Replantation of previously excised part of skull cap,Replantation av tidigare uttagen del av skalltak
AAK99,Other operation on skull or dura,Annan operation på kranium och dura
AAL,Intracranial endovascular procedures,Endovaskulära intrakraniala ingrepp
AAL00,Endovascular occlusion of intracranial aneurysm,Endovaskulär ocklusion p.g.a.intrakranialt aneurysm
AAL10,Intracranial endovascular thrombolysis,Intrakranial endovaskulär trombolys
AAL20,Endovascular occlusion of intracranial arterio-venous malformation,Endovaskulär ocklusion p.g.a.intrakranial A-V missbildning
AAL30,Endovascular occlusion of intracranial fistula,Endovaskulär ocklusion av intrakranial arteriovenös fistel
AAL40,Endovascular occlusion of feeding arteries of intracranial tumour,Endovaskulär ocklusion p.g.a.intrakranial tumör
AAL99,Other intracranial endovascular procedure,Annan endovaskulär intrakranial operation
AAM,Operations for intracranial infection,Ingrepp p.g.a. intrakraniala infektioner
AAM00,Puncture and evacuation of intracerebral abscess,Punktion och tömning av intrakranial abscess
AAM10,Excision of intracerebral abscess,Exstirpation av intrakranial abscess
AAM30,Evacuation of epidural or subdural empyema,Utrymning av epiduralt eller subduralt empyem
AAM99,Other operation for intracranial infection,Annan operation p.g.a.intrakranial infektion
AAN,Operations for intracranial congenital malformations,Operationer vid intrakraniala kongenitala missbildningar
AAN00,Excision and repair of encephalocele,Exstirpation och plastik av enkefalocele
AAN99,Other operation for intracranial congenital malformation,Annan operation vid intrakraniala kongenitala missbildningar
AAP00,Biopsy of skull,Biopsi av skallben
AAP10,Extirpation of a skull lesion,Resektion av bentumör i skallen
AAP99,Other operation on skull,Annan skalloperation
AAQ,Reconstructive operations for facial palsy,Rekonstruktiva operationer vid ansiktsförlamning
AAQ00,Local transposition of muscle for facial palsy,Lokal muskeltransposition vid facialispares
AAQ10,Cross-facial transplantation of nerve for facial palsy,Nervtransplantat för anknytning av facialnerv till motsatt sida
AAQ20,Microvascular transposition of muscle for facial palsy,Mikrovaskulär muskelförflyttning vid facialispares
AAQ99,Other reconstructive operation for facial palsy,Annan rekonstruktiv operation vid facialispares
AAU,Removal of implants and external fixation devices from skull,Uttagning av implanter och external fixations apparater från skallet
AAU00,Removal of implant or external fixation device from skull,Uttagning av implant eller fixations apparat från skalle
AAW,Other intracranial operations,Andra intrakraniala operationer
AAW01,Implantation of intracranial stimulation device,Implantation av intrakraniell nervsystem stimulerande apparat
AAW02,Implantation of intracranial injection device,Implantation av intrakraniell injektioktions apparat
AAW99,Other intracranial operation,Annan intrakranial operation
AA0,Radiotherapy of brain,Strålbehandling av hjärnan
AA001,Preoperative radiotherapy of brain,Preoperativ strålbehandling av primärtumör i hjärnan eller dess delar
AA002,Radical radiotherapy of brain,Radikal strålbehandling av primärtumör i hjärnan eller dess delar
AA003,Adjuvant radiotherapy of brain,Adjuvant strålbehandling av primärtumör i hjärnan eller dess delar
AA004,Palliative radiotherapy of brain,Palliativ strålbehandling av primärtumör i hjärnan eller dess delar
AA029,Radiotherapy of local residive of brain tumor,Strålbehandling av lokalt recidivtumör i hjärnan eller dess delar
AA049,Radiotherapy of metasthasis in the brain,Strålbehandling av metastas i hjärnan eller dess delar
AA090,Profylactic radiotherapy of brain,Profylaktisk strålbehandling av  hjärnan och dess delar
AA099,Other radiotherapy of brain,Annan strålbehandling av  hjärnan och dess delar
AA1AA,Head X-ray examination,"Skalle, röntgen"
AA1AD,CT of head and brain,"Skalle och hjärna, DT"
AA1AF,Short MRI examination of brain with low intensity magnet,"Skalle och hjärna, begränsad MR (under 1,5T)"
AA1AG,Short MRI examination of brain with median intensity magnet,"Skalle och hjärna, begränsad MR"
AA1AM,Short MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, begränsad MR (över 1,5T)"
AA1BA,Extenxive X-ray examination of head,"Skalle, omfattande röntgen"
AA1BD,Extensive CT of head and brain,"Skalle och hjärna, omfattande DT"
AA1BF,Standard MRI examination of brain with median intensity magnet,"Skalle och hjärna, MR (under 1,5T)"
AA1BG,Standard MRI examination of brain with high intensity magnet,"Skalle och hjärna, MR"
AA1BM,MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, MR (över 1,5T)"
AA1CD,Very extensive CT of head and brain,"Skalle och hjärna, mycket omfattande DT"
AA1CF,Extensive MRI examination of brain with median intensity magnet,"Skalle och hjärna, omfattande MR (under 1,5T)"
AA1CG,Extensive MRI examination of brain with high intensity magnet,"Skalle och hjärna, omfattande MR"
AA1CM,Extensive MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, omfattande MR (över 1,5T)"
AA1DD,Head and neck CT,"Halsrygg och huvud, DT"
AA1DF,Very extensive MRI examination of brain with median intensity magnet,"Skalle och hjärna, mycket omfattande MR (under 1,5T)"
AA1DG,Very extensive MRI examination of brain with high intensity magnet,"Skalle och hjärna, mycket omfattande MR"
AA1DM,Very extensive MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, mycket omfattande MR (över 1,5T)"
AA1D3,,"Histologisk undersökning från huvud- och halsregionen, omfattande operationspreparat"
AA1ED,,"Skalle och hals, DT för trauma"
AA1FD,,"Huvud och ansikte, trauma-DT"
AA1LA,,Huvudområdets genomlysning
AA1XD,Other special CT of head and brain,"Hjärna, annan DT"
AA_2,Other diagnostic procedures of brain and skull,Andra undersökningar av hjärna och skalle
AA2AA,Cranial basis X-ray examination,"Skallbas, röntgen *"
AA2CG,,"Skalle, hjärna och ögonhåla, omfattande MR"
AA2DG,,"Skalle, hjärna och ögonhåla, mycket omfattande MR"
AA_3,Other minor intracranial procedures,Andra mindre intrakraniala åtgärder
AA3AA,Facial bones X-ray examination,"Ansiktsskelett, röntgen"
AA3AD,,"Ansikte, DT"
AA3AI,,"Ansiktets ben, cone-beam DT"
AA3BD,,"Ansikte, omfattande DT"
AA3CD,,"Ansikte, mycket omfattande DT"
AA3KJ,,
AA3PJ,,
AA4AA,Sella turcica X-ray examination,"Sella turcica, röntgen *"
AA4AD,CT of sella turcica,"Sella, DT"
AA4AI,,"Sella, cone-beam DT"
AA4BD,Extensive CT of sella turcica,"Sella, omfattande DT"
AA4BF,MRI examination of sella turcica with median intensity magnet,"Sella, MR (under 1,5T)"
AA4BG,MRI examination of sella turcica with high intensity magnet,"Sella, MR"
AA4BM,MRI examination of sella turcica with 3 Tesla magnet,"Sella, MR (över 1,5T)"
AA4CD,Very extensive CT of sella turcica,"Sella, mycket omfattande DT"
AA4CF,Extensive MRI examination of sella turcica with median intensity magnet,"Sella, omfattande MR (under 1,5T)"
AA4CG,Extensive MRI examination of sella turcica with high intensity magnet,"Sella, omfattande MR"
AA4CM,Extensive MRI examination of sella turcica with 3 Tesla magnet,"Sella, omfattande MR (över 1,5T)"
AA4DF,Very extensive MRI examination of sella turcica with median intensity magnet,"Sella, mycket omfattande MR (under 1,5T)"
AA4DG,Very extensive MRI examination of sella turcica with high intensity magnet,"Sella, mycket omfattande MR"
AA4DM,Very extensive MRI examination of sella turcica with 3 Tesla magnet,"Sella, mycket omfattande MR (över 1,5T)"
AA4WT,Selective blood sample from sinus petrosus inferior,Selektivt blodprov från sinus petrosus
AA4XD,Other special CT of sella turcica,DT av sella (övrig)
AA400,Electroconvulsive therapy,Elektrokonvulsiv terapi (ECT)
AA5AE,Brain ultrasound examination,Inrakraniellt UL
AA5AK,Brain spectroscopy,Spektroskopi av hjärnan
AA5AL,Magnetoencephalography (MEG),Magnetencefalografi MEG
AA5AN,Brain isotope imaging,"Hjärna, isotopundersökning"
AA5AP,Brain PET,"Hjärna, PET undersökning"
AA5AR,,"Hjärna, PET-DT"
AA5AS,,"Hjärnans syreförbrukning, begränsad PET-MRI"
AA5BD,,"Hjärnischemi, DT (med diagnostisk avbildning och perfusionsundersökning av blodkärl i huvud och hals)"
AA5BK,Extensive brain spectroscopy,"Spektroskopi av hjärnan, omfattande"
AA5CN,Brain blood flow isotope examination,Hjärncirkulation isotopundersökning
AA5CP,Brain perfusion PET,Hjärnperfusion PET
AA5CQ,Brain perfusion SPECT with low dose CT,Hjärnperfusion SPET med lågdos DT
AA5CR,,"Hjärnans perfusion, PET med DT"
AA5CS,,"Hjärnperfusion, PET-MRI"
AA5DP,Brain metabolism PET,Hjärnmetabolism PET
AA5DR,Brain metabolism PET with CT,Hjärnmetabolism PET med DT
AA5DS,,"Hjärnmetabolism, PET-MRI"
AA5EN,Brain reseptor or transprot protein distribution isotope imaging,Hjärnreseptor eller transportprotein isotopundersökning
AA5EP,Brain reseptor or transportprotein PET,Hjärnreseptor eller transportprotein PET
AA5EQ,Brain receptor and transport protein SPECT with low dose CT,"Hjärnans receptorer och transportproteiner, SPET med lågdos-DT"
AA5ER,Brain receptor or transportprotein PET with TT,Hjärnreceptor eller -transportprotein PET med TT
AA5FF,Functional MRI examination of brain with median intensity magnet,"Hjärna, funktionell MR med mellanfältsmagnet"
AA5FG,Functional MRI examination of brain with high intensity magnet,"Hjärna, funktionell MR"
AA5FK,,"Hjärna, funktionel undersökning"
AA5FM,Functional MRI examination of brain with 3 Tesla magnet,"Hjärna, funktionell MR med 3 Tesla magnet"
AA5FP,Brain blood volume PET,Hjärnans blodvolym PET
AA5GF,Extensive functional MRI examination of brain with median intensity magnet,"Hjärna, omfattande funktionell MR med mellanfältsmagnet"
AA5GG,Extensive functional MRI examination of brain withhigh intensity magnet,"Hjärna, omfattande funktionell MR med högfältsmagnet"
AA5GM,Extensive functional MRI examination of brain with 3 Tesla magnet,"Hjärna, omfattande funktionell MR med 3 Tesla magnet"
AA5GP,Brain gamma PET,"Hjärna, gamma-PET undersökning"
AA5GS,,"Hjärnans funktion, PET-MRI"
AA5HE,Brain ultrasound examination in a child,Barnets hjärn-UL
AA5HF,Very extensive functional MRI examination of brain with median intensity magnet,"Hjärna, mycket omfattande funktionell MR med mellanfältsmagnet"
AA5HG,Very extensive functional MRI examination of brain with high intensity magnet,"Hjärna, mycket omfattande funktionell MR med högfältsmagnet"
AA5HM,Very extensive functional MRI examination of brain with 3 Tesla magnet,"Hjärna, mycket omfattande funktionell MR med 3 Tesla magnet"
AA5JP,Brain metabolism extensive PET,Hjärnmetabolism omfattande PET
AA5JS,,"Hjärnmetabolism, omfattande PET-MRI"
AA5KJ,,
AA5KP,Brain metabolism very extensive PET,Hjärnmetabolism mycket omfattande PET
AA5KS,,"Hjärnmetabolism, mycket omfattande PET-MRI"
AA5LP,Brain reseptor or transportprotein extensive PET,Hjärnreseptor eller transportprotein omfattande PET
AA5LQ,Brain receptor and transport protein SPECT with low dose CT,"Hjärnans receptorer och transportproteiner, SPET med flera steg och lågdos-DT"
AA5LT,,"Intrakranaila värmekoagulation, radiologiskt styrt"
AA5NK,Tractography within white matter of central nervous system,Traktrographi av centrala nervsystemets vita substans
AA5NS,,"Hjärnans syreförbrukning, PET-MRI"
AA5PD,CT examination of brain pefusion,Hjärnperfusionsundersökning med DT
AA5PJ,,
AA5PS,Brain SPECT,"Hjärnans blodvolym, PET-MRI"
AA5SN,,"Hjärna, SPET"
AA5SP,Brain reseptor or transport protein very extensive PET,Hjärnreseptor eller transportprotein mycket omfattande PET
AA5TR,,"Hjärntumörer, PET med DT"
AA5XP,Brain other PET,"Hjärna, annan PET"
AA500,,Transkraniell magnetstimulation
AA6AA,Cranial sutures X-ray examination,"Skallens suturer, röntgen"
AA6AD,Cranial bones CT examination,"Skallben, DT"
AA6BD,Cranial bones extensive CT examination,"Skallben, omfattande DT"
AA6CD,Cranial bones very extensive CT examination,"Skallben, mycket omfattande DT"
AA6JD,Cranial bones CT scout view,Skallben CT scout-scan
AA7AA,Liquor cerebri shunt X-ray examinatin without contrast,"Likvorshunt, röntgen"
AA7AN,Cerebrospinal fluid flow isotope examination,Cerebrospinalvätska flöde isotopundersökning
AA7A3,,Cytologisk undersökning i likvor
AA7EB,Valvulography or liquor cerebri shunt with contrast,Valvulografi (shuntundersökning)
AA7F3,,Undersökning av leukocyternas ytmarkörer i likvor
AA7KJ,,
AA7PJ,,
AA8DD,CT of brain cisternas with X-ray positive contrast,DT-cisternografi med rtg-positiv kontrast
AA8ED,CT of brain cisternas with X-ray negative contrast,DT-cisternografi med rtg-negativ kontrast
AA9C3,,"Särskild neuropatologisk undersökning från centrala nervsystemet, obduktionsprov"
AA9D3,,"Histologisk undersökning från centrala nervsystemet, kirurgiskt prov"
AA9GE,,"Centrala nervsystemet, intraoperativt UL"
AA9XE,Other ultrasound examination of central nervous system,"Centrala nervsystemet, annan UL"
AB,Spinal cord and nerve roots,Ryggmärg och nervrötter
AB_,Diagnostic radiology of spinal cord and nerve roots,Diagnostisk radiologi av ryggmärg och nervrötter
ABA,Diagnostic operations on spinal cord and nerve roots,Diagnostiska ingrepp på ryggmärg och nervrötter
ABA00,Exploratory laminectomy,Explorativ laminotomi/laminektomi
ABA10,Biopsy of lesion of spinal canal,Biopsi av patologisk förändring i spinalkanal
ABA20,Intrathecal endoscopy,Intratekal endoskopi
ABA30,Epiduroscopy,Epiduroskopi
ABA99,Other diagnostic operation on spinal cord or nerve root,Annan diagnostiskt ingrepp på ryggmärg och nervrötter
ABB,Operations for lesions of spinal cord and nerve roots,Operationer för patologisk förändring i ryggmärg och nervrötter
ABB00,Excision of lesion of spinal canal,Exstirpation av tumör/kärlförändring i spinalkanalen
ABB02,Excision of lesion of nerve root,Exstirpation av förändring i nervrot
ABB04,Desctruction of lesion of nerve root,Destruktion av förändring i nervrot
ABB06,Percutaneous destruction of lesion of nerve root,Perkutan destruktion av förändring i nervrot
ABB10,Resection of lesion of spinal canal,Delresektion av lesion i spinalkanalen
ABB20,Drainage of intra- or extramedullary cyst of spinal canal,Dränage av cysta i spinalkanalen
ABB30,Destruction of lesion of spinal canal,Destruktion av tumör/förändring i spinalkanalen
ABB40,Evacuation of spontaneous haematoma of spinal canal,Utrymning av icke-traumatiskt hematom i spinalkanalen
ABB50,Decompression of spinal canal for lesion of spinal cord or nerve root,Dekompression av spinalkanal p.g.a.tumör/förändring
ABB99,Other operation for lesion of spinal canal,Annan operation för patologisk förändring i ryggmärg och nervrötter
ABC,Decompression of spinal cord and nerve roots,Dekompression av ryggmärg och nervrötter
ABC01,Percutaneous endoscopic discectomy for cervical intervertebral disc displacement,Perkutan endoskopisk cervikal diskbråcksoperation
ABC04,Percutaneous endoscopic discectomy for thoracic intervertebral disc displacement,Perkutan endoskopisk torakal diskbråcksoperation
ABC07,Percutaneous endoscopic discectomy for lumbar intervertebral disc displacement,Perkutan endoskopisk lumbal diskbråcksoperation
ABC10,Microsurgical excision of cervical intervertebral disc displacement,Mikrokirurgisk cervikal diskbråcksoperation
ABC13,Microsurgical excision of thoracic intervertebral disc displacement,Mikrokirurgisk torakal diskbråcksoperation
ABC16,Microsurgical excision of lumbar intervertebral disc displacement,Mikrokirurgisk lumbal diskbråcksoperation
ABC17,Removal of extraforaminal disc prolapse,Operation för extraforaminalt lumbalt diskbråck
ABC20,Open discectomy of cervical spine,Öppen cervikal diskbråcksoperation
ABC21,Anterior decompression of cervical spine with insertion of interbody fixating implant,Främre dekompression i halsryggraden med inläggande av främre fixationsimplantat
ABC23,Open discectomy of thoracic spine,Öppen thorakal diskbråcksoperation
ABC26,Open discectomy of lumbar spine,Öppen lumbal diskbråcksoperation
ABC28,Insertion of expanding implant between spinous processes,Inläggande av expanderande implantat mellan spinalutskotten
ABC30,Decompression of cervical nerve roots,Dekompression av nervrötter i halsryggen
ABC33,Decompression of thoracic nerve roots,Dekompression av nervrötter i thorakala regionen av ryggen
ABC36,Decompression of lumbar nerve roots,Dekompression av nervrötter i ländryggen
ABC40,Decompression of cauda equina,Dekompression av nervrötter i cauda equina
ABC50,Decopression of cervical spinal canal and nerve roots,Dekompression av cervikal ryggmärg och nervrötter i halsryggen
ABC53,Decompression of thoracic spinal canal and nerve roots,Dekompression av thorakal ryggmärg och nervrötter i thorakalryggen
ABC56,Decompression of lumbar spinal canal and nerve roots,Dekompression av lumbar ryggmärg p.g.a. degenerativa förändringar
ABC60,Decompression of cervical spinal cord,Dekompression av cervikal ryggmärg
ABC63,Decompression of thoracic spinal cord,Dekompression av thorakal ryggmärg
ABC66,Decompression of lumbal spinal channel,Dekompression av lumbal ryggmärgskanal
ABC99,Other decompressive operation on spinal cord or nerve root,Annan dekompression av ryggmärg och nervrötter
ABD,Operations on spinal cord and nerve roots for pain or impaired function,Operationer på ryggmärg och nervrötter p.g.a.smärta och funktionella störningar
ABD10,Open cordotomy,Öppen kordotomi
ABD15,Percutaneous cordotomy,Perkutan kordotomi
ABD20,Myelotomy,Myelotomi
ABD30,Implantation of spinal stimulation device,Intraspinal applikation av elektrostimulator
ABD32,Implantation of temporary spinal stimulation device,Installation av tillfällig neuromodulator
ABD33,,Revision av ryggmärgs- eller neurostimulator
ABD34,,Anläggning av elektrod för stimulering av ryggmärgen
ABD35,,Anläggning av strömkälla till elektrod för stimulering av ryggmärgen
ABD40,Implantation of spinal injection device,Inläggande injektionsport i spinalkanalen
ABD50,Transection of spinal nerve root for pain or impaired function,Rizotomi av spinal nervrot p.g.a. smärta eller funktionell störning
ABD60,,Anläggning av elektrod för stimulering av bakrotsganglion
ABD61,,Anläggning av strömkälla till elektrod för stimulering av bakrotsganglion
ABD62,,Anläggning av strömkälla och elektrod för stimulering av bakrotsganglion
ABD63,,Revision av neuromodulator för stimulering av bakrotsganglion
ABD64,,Byte av elektrod för stimulering av bakrotsganglion
ABD65,,Byte av strömkälla till elektrod för stimulering av bakrotsganglion
ABD66,,Borttagning av neuromodulator för stimulering av bakrotsganglion
ABD67,,Borttagning av strömkälla till eletrod för stimulering av bakrotsganglion
ABD99,Other operation on spinal cord or nerve for pain or impaired function,Annan operation på ryggmärg och nervrötter p.g.a. smärta och funktionella störningar
ABE,Operations for congenital malformations of spine,Operationer p.g.a.spinala missbildningar
ABE10,Excision and repair of myelocele or meningocele,Exstirpation och plastik av myelo- eller meningocele
ABE20,Mobilisation of tethered cord or diastematomyelia,Deliberation av fjättrad ryggmärg (diastematomyeli)
ABE30,Excision of dermal sinus,Exstirpation av dermal sinus
ABE40,Operation for hydromyelia,Operation för hydromyeli
ABE50,Occipitocervical decompression,Occipitocervikal dekompression
ABE99,Other operation for spinal malformation,Annan operation p.g.a.spinala missbildningar
ABW,Other operations on spinal cord and nerve roots,Andra operationer på ryggmärg och nervrötter
ABW99,Other operation on spinal cord or nerve root,Annan operation på ryggmärg och nervrötter
AB0,,Strålbehandling av medulla oblongata och ryggmärgskanalen
AB001,Preoperative radiotherapy of spinal cord or medulla oblongata,Preoperativ strålbehandling av primärtumör i medulla oblongata eller i ryggmärgskanalen
AB002,Radical radiotherapy of spinal cord or medulla oblongata,Radikal strålbehandling av primärtumör i medulla oblongata eller i ryggmärgskanalen
AB003,Adjuvant radiotherapy of spinal cord or medulla oblongata,Adjuvant strålbehandling av primärtumör i medulla oblongata eller i ryggmärgskanalen
AB004,Palliative radiotherapy of spinal cord or medulla oblongata,Palliativ strålbehandling av primärtumör i medulla oblongata eller i ryggmärgskanalen
AB029,Radiotherapy of local residive tumor of spinal cord or medulla oblongata,Strålbehandling av lokalt recidivtumör i medulla oblongata eller i ryggmärgskanalen
AB049,Radiotherapy of metasthasis in spinal cord or medulla oblongata,Strålbehandling av metastas i medulla oblongata eller i ryggmärgskanalen
AB090,Profylactic radiotherapy of spinal cord or medulla oblongata,Profylaktisk strålbehandling av medulla oblongata och  ryggmärgskanalen
AB099,Other radiotherapy of spinal cord or medulla oblongata,Annan strålbehandling av medulla oblongata och  ryggmärgskanalen
AB1CB,Cervical myelography,"Halsrygg, myelografi"
AB_2,Other procedures on spinal cord and nerve roots,Andra åtgärder på ryggmärg och nervrötter
AB2CB,Thoracal myelography,"Bröstrygg, myelografi"
AB3CB,Lumbar myelography,"Ländrygg, myelografi"
AB4AA,,Kontroll av kateter i spinalkanal eller epiduralrummet
AB4AE,Spinal ultrasound examination,"Spinalkanal, UL"
AB4AT,Cathetrization of cerebrospinal fluid with  ultrasound guidance,UL-styrt dränage av spinalvätska
AB4BT,Cathetrization of cerebrospinal fluid with  X-ray guidance,Genomlysningsstyrt dränage av spinalvätska
AB4CB,Myelography of several segments of spine,Myelografi av flera ryggradssegment
AB4CT,Cathetrization of cerebrospinal fluid with  CT guidance,"Spinalvätska, DT-styrt dränage"
